playerID,nameFirst,nameLast,birthYear,birthMonth,fullName
aardsda01,David,Aardsma,1981,12,David Aardsma
aaronha01,Hank,Aaron,1934,2,Hank Aaron
aaronto01,Tommie,Aaron,1939,8,Tommie Aaron
aasedo01,Don,Aase,1954,9,Don Aase
abadan01,Andy,Abad,1972,8,Andy Abad
abadfe01,Fernando,Abad,1985,12,Fernando Abad
abadijo01,John,Abadie,1850,11,John Abadie
abbated01,Ed,Abbaticchio,1877,4,Ed Abbaticchio
abbeybe01,Bert,Abbey,1869,11,Bert Abbey
abbeych01,Charlie,Abbey,1866,10,Charlie Abbey
abbotan01,Andrew,Abbott,1999,6,Andrew Abbott
abbotco01,Cory,Abbott,1995,9,Cory Abbott
abbotda01,Dan,Abbott,1862,3,Dan Abbott
abbotfr01,Fred,Abbott,1874,10,Fred Abbott
abbotgl01,Glenn,Abbott,1951,2,Glenn Abbott
abbotje01,Jeff,Abbott,1972,8,Jeff Abbott
abbotji01,Jim,Abbott,1967,9,Jim Abbott
abbotji02,Jim,Abbott,1884,12,Jim Abbott
abbotku01,Kurt,Abbott,1969,6,Kurt Abbott
abbotky01,Kyle,Abbott,1968,2,Kyle Abbott
abbotod01,Ody,Abbott,1886,9,Ody Abbott
abbotpa01,Paul,Abbott,1967,9,Paul Abbott
abelmi01,Mick,Abel,2001,8,Mick Abel
aberal01,Al,Aber,1927,7,Al Aber
abercda01,Frank,Abercrombie,1850,1,Frank Abercrombie
abercre01,Reggie,Abercrombie,1980,7,Reggie Abercrombie
abernbi01,Bill,Abernathie,1929,1,Bill Abernathie
abernbr01,Brent,Abernathy,1977,9,Brent Abernathy
abernro01,Robert,Abernathy,1917,7,Robert Abernathy
abernte01,Ted,Abernathy,1921,10,Ted Abernathy
abernte02,Ted,Abernathy,1933,3,Ted Abernathy
abernwo01,Woody,Abernathy,1915,2,Woody Abernathy
aberscl01,Cliff,Aberson,1921,8,Cliff Aberson
ablesha01,Harry,Ables,1883,10,Harry Ables
abnerph01,Philip,Abner,2002,5,Philip Abner
abnersh01,Shawn,Abner,1966,6,Shawn Abner
abramca01,Cal,Abrams,1924,3,Cal Abrams
abramcj01,CJ,Abrams,2000,10,CJ Abrams
abramge01,George,Abrams,1897,11,George Abrams
abregjo01,Johnny,Abrego,1962,7,Johnny Abrego
abreual01,Albert,Abreu,1995,9,Albert Abreu
abreubo01,Bobby,Abreu,1974,3,Bobby Abreu
abreubr01,Bryan,Abreu,1997,4,Bryan Abreu
abreueu01,Eufemio,Abreu,1901,,Eufemio Abreu
abreujo01,Joe,Abreu,1913,5,Joe Abreu
abreujo02,Jose,Abreu,1987,1,Jose Abreu
abreuju01,Juan,Abreu,1985,4,Juan Abreu
abreuto01,Tony,Abreu,1984,11,Tony Abreu
abreuwi01,Winston,Abreu,1977,4,Winston Abreu
abreuwi02,Wilyer,Abreu,1999,6,Wilyer Abreu
abstebi01,Bill,Abstein,1883,2,Bill Abstein
accarje01,Jeremy,Accardo,1981,12,Jeremy Accardo
acea01,,Acea,,, Acea
aceveal01,Alfredo,Aceves,1982,12,Alfredo Aceves
acevedo01,Domingo,Acevedo,1994,3,Domingo Acevedo
acevejo01,Jose,Acevedo,1977,12,Jose Acevedo
aceveju01,Juan,Acevedo,1970,5,Juan Acevedo
achteaj01,A. J.,Achter,1988,8,A. J. Achter
ackerji01,Jim,Acker,1958,9,Jim Acker
ackerto01,Tom,Acker,1930,3,Tom Acker
ackledu01,Dustin,Ackley,1988,2,Dustin Ackley
acklefr01,Fritz,Ackley,1937,4,Fritz Ackley
acostcy01,Cy,Acosta,1946,11,Cy Acosta
acosted01,Ed,Acosta,1944,3,Ed Acosta
acostjo01,Jose,Acosta,1891,3,Jose Acosta
acostma01,Manny,Acosta,1981,5,Manny Acosta
acostma02,Maximo,Acosta,2002,10,Maximo Acosta
acostme01,Merito,Acosta,1896,5,Merito Acosta
acrema01,Mark,Acre,1968,9,Mark Acre
actama99,Manny,Acta,1969,1,Manny Acta
actonga01,Garrett,Acton,1998,6,Garrett Acton
acunalu01,Luisangel,Acuña,2002,3,Luisangel Acuña
acunaro01,Ronald,Acuña,1997,12,Ronald Acuña
adairbi99,Bill,Adair,1913,2,Bill Adair
adairje01,Jerry,Adair,1936,12,Jerry Adair
adairji01,Jimmy,Adair,1907,1,Jimmy Adair
adamecr01,Cristhian,Adames,1991,7,Cristhian Adames
adamewi01,Willy,Adames,1995,9,Willy Adames
adamja01,Jason,Adam,1991,8,Jason Adam
adams01,,Adams,,, Adams
adamsac01,Ace,Adams,1910,3,Ace Adams
adamsau01,Austin,Adams,1986,8,Austin Adams
adamsau02,Austin,Adams,1991,5,Austin Adams
