age,age_sq,n_seasons,prev_AVG,prev_R,prev_H,prev_HR,prev_RBI,prev_2B,prev_SB,prev_BB,prev_OBP,prev_SLG,prev_PA,prev_G,prev_SO,wavg3_AVG,wavg3_R,wavg3_H,wavg3_HR,wavg3_RBI,wavg3_2B,wavg3_SB,wavg3_BB,wavg3_OBP,wavg3_SLG,career_AVG,career_R,career_H,career_HR,career_RBI,career_2B,career_SB,career_BB,career_OBP,career_SLG,trend_AVG,trend_R,trend_H,trend_HR,trend_RBI,trend_2B,trend_SB,trend_BB,trend_OBP,trend_SLG
26,676,4,0.257,92,149,19,60.0,35,31.0,37,0.315,0.433,635.0,144,125.0,0.2513333333333333,86.16666666666666,141.83333333333331,19.166666666666664,62.33333333333333,31.833333333333332,33.666666666666664,37.166666666666664,0.31216666666666665,0.4295,0.2485,71.75,122.5,14.75,52.5,26.0,29.0,28.5,0.30225,0.4005,0.01100000000000001,13.0,16.0,-1.0,-5.0,6.0,0.0,-3.0,0.0010000000000000009,0.0
27,729,2,0.247,53,92,22,69.0,17,6.0,40,0.317,0.469,417.0,115,101.0,0.2494,55.4,95.6,19.2,64.6,23.4,6.8,40.0,0.319,0.46499999999999997,0.25,56.0,96.5,18.5,63.5,25.0,7.0,40.0,0.3195,0.46399999999999997,-0.006000000000000005,-6.0,-9.0,7.0,11.0,-16.0,-2.0,0.0,-0.0050000000000000044,0.009999999999999953
29,841,8,0.29,74,98,21,42.0,12,9.0,71,0.417,0.518,412.0,95,102.0,0.2845,74.5,101.16666666666666,18.666666666666664,43.666666666666664,14.5,22.0,57.83333333333333,0.3948333333333333,0.48,0.28112499999999996,81.875,114.125,23.25,57.375,19.625,25.625,54.875,0.38325,0.5173749999999999,0.03999999999999998,36.0,50.0,17.0,27.0,4.0,-7.0,44.0,0.066,0.15300000000000002
31,961,8,0.225,94,133,30,87.0,22,12.0,80,0.318,0.421,685.0,160,179.0,0.23233333333333334,90.16666666666666,137.5,29.666666666666664,94.16666666666666,26.833333333333332,13.833333333333332,76.5,0.321,0.43233333333333335,0.248,70.125,116.625,22.5,69.875,24.25,7.875,53.5,0.323875,0.44175,-0.025999999999999995,1.0,-20.0,-2.0,-25.0,-11.0,-9.0,6.0,-0.013000000000000012,-0.041000000000000036
30,900,1,0.186,29,49,8,24.0,8,1.0,18,0.252,0.308,286.0,83,110.0,0.186,29.0,49.0,8.0,24.0,8.0,1.0,18.0,0.252,0.308,0.186,29.0,49.0,8.0,24.0,8.0,1.0,18.0,0.252,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,729,3,0.236,63,124,37,98.0,18,5.0,33,0.293,0.485,570.0,152,151.0,0.22433333333333333,53.16666666666667,100.0,26.5,74.16666666666666,16.0,8.166666666666668,30.0,0.2838333333333333,0.43866666666666665,0.22233333333333336,46.333333333333336,89.33333333333333,21.666666666666668,62.333333333333336,15.0,8.0,26.333333333333332,0.27899999999999997,0.42,0.028999999999999998,9.0,40.0,17.0,36.0,3.0,-10.0,-2.0,0.012999999999999956,0.08299999999999996
29,841,8,0.24,74,145,16,74.0,23,14.0,55,0.306,0.365,667.0,157,94.0,0.2503333333333333,70.33333333333333,133.66666666666666,16.833333333333332,72.83333333333333,26.166666666666664,11.833333333333332,44.166666666666664,0.31,0.4026666666666666,0.26487499999999997,75.25,131.75,18.875,70.375,28.75,11.875,37.75,0.31999999999999995,0.44837499999999997,-0.01100000000000001,22.0,45.0,6.0,21.0,-6.0,6.0,28.0,0.0030000000000000027,-0.039000000000000035
27,729,1,0.23,31,53,7,28.0,12,4.0,22,0.323,0.383,266.0,74,86.0,0.23,31.0,53.0,7.0,28.0,12.0,4.0,22.0,0.323,0.383,0.23,31.0,53.0,7.0,28.0,12.0,4.0,22.0,0.323,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,784,3,0.221,32,82,0,22.0,11,8.0,31,0.284,0.251,416.0,135,99.0,0.21866666666666668,30.833333333333332,73.66666666666666,2.0,20.833333333333332,9.0,6.166666666666666,24.333333333333332,0.2723333333333333,0.2696666666666666,0.21633333333333335,30.666666666666668,70.33333333333333,2.6666666666666665,20.333333333333332,9.333333333333334,5.333333333333333,22.333333333333332,0.26766666666666666,0.2763333333333333,0.0,3.0,15.0,-4.0,2.0,7.0,3.0,14.0,0.020999999999999963,-0.035999999999999976
32,1024,7,0.272,87,170,38,126.0,41,1.0,61,0.347,0.524,709.0,162,162.0,0.25216666666666665,89.16666666666666,154.16666666666666,38.0,112.0,34.33333333333333,2.1666666666666665,64.66666666666666,0.3361666666666666,0.499,0.25042857142857144,82.85714285714286,135.85714285714286,37.714285714285715,101.71428571428571,26.142857142857142,2.5714285714285716,59.857142857142854,0.33914285714285713,0.5138571428571429,0.03200000000000003,-4.0,24.0,4.0,38.0,10.0,-2.0,-9.0,0.01799999999999996,0.065
36,1296,11,0.265,80,156,26,77.0,24,10.0,55,0.329,0.442,654.0,155,109.0,0.2826666666666667,84.0,158.33333333333331,22.5,68.66666666666666,25.833333333333332,14.666666666666666,50.5,0.3466666666666667,0.4543333333333333,0.29809090909090913,89.18181818181819,159.8181818181818,21.272727272727273,66.27272727272727,30.272727272727273,17.636363636363637,49.27272727272727,0.36300000000000004,0.48245454545454547,-0.02999999999999997,-14.0,-29.0,6.0,12.0,-7.0,-12.0,8.0,-0.020999999999999963,0.0030000000000000027
25,625,3,0.256,32,63,11,32.0,12,0.0,27,0.339,0.447,277.0,76,73.0,0.24183333333333332,37.5,69.16666666666666,13.333333333333332,42.166666666666664,12.666666666666666,0.6666666666666666,29.166666666666664,0.3191666666666667,0.43066666666666664,0.23399999999999999,40.666666666666664,72.0,15.666666666666666,47.333333333333336,12.666666666666666,1.0,30.333333333333332,0.31,0.42900000000000005,0.019000000000000017,-7.0,-10.0,0.0,-15.0,-2.0,-1.0,-3.0,0.03200000000000003,0.043999999999999984
23,529,1,0.234,18,44,2,15.0,12,0.0,12,0.296,0.33,208.0,58,49.0,0.234,18.0,44.0,2.0,15.0,12.0,0.0,12.0,0.296,0.33,0.234,18.0,44.0,2.0,15.0,12.0,0.0,12.0,0.296,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,961,3,0.318,36,102,10,44.0,17,1.0,17,0.352,0.47,341.0,94,49.0,0.3035,42.166666666666664,108.0,10.833333333333332,47.33333333333333,21.0,1.8333333333333333,17.0,0.3373333333333333,0.44849999999999995,0.3,50.0,119.33333333333333,13.666666666666666,55.333333333333336,26.0,2.0,18.333333333333332,0.3333333333333333,0.458,0.03300000000000003,5.0,16.0,6.0,14.0,3.0,-2.0,4.0,0.03199999999999997,0.09299999999999997
