age,age_sq,n_seasons,prev_AVG,prev_R,prev_H,prev_HR,prev_RBI,prev_2B,prev_SB,prev_BB,prev_OBP,prev_SLG,prev_PA,prev_G,prev_SO,wavg3_AVG,wavg3_R,wavg3_H,wavg3_HR,wavg3_RBI,wavg3_2B,wavg3_SB,wavg3_BB,wavg3_OBP,wavg3_SLG,career_AVG,career_R,career_H,career_HR,career_RBI,career_2B,career_SB,career_BB,career_OBP,career_SLG,trend_AVG,trend_R,trend_H,trend_HR,trend_RBI,trend_2B,trend_SB,trend_BB,trend_OBP,trend_SLG,target_AVG
23,529,1,0.246,33,70,2,21.0,12,7.0,5,0.28,0.324,302.0,90,50.0,0.246,33.0,70.0,2.0,21.0,12.0,7.0,5.0,0.28,0.324,0.246,33.0,70.0,2.0,21.0,12.0,7.0,5.0,0.28,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.245
24,576,2,0.245,83,138,18,64.0,28,47.0,32,0.3,0.412,614.0,151,118.0,0.2454,63.0,110.8,11.6,46.8,21.6,31.0,21.2,0.29200000000000004,0.3768,0.2455,58.0,104.0,10.0,42.5,20.0,27.0,18.5,0.29000000000000004,0.368,-0.0010000000000000009,50.0,68.0,16.0,43.0,16.0,40.0,27.0,0.019999999999999962,0.08799999999999997,0.246
25,625,3,0.246,79,133,20,65.0,29,31.0,40,0.314,0.433,602.0,138,128.0,0.24566666666666664,72.66666666666666,124.16666666666666,16.333333333333332,57.33333333333333,25.833333333333332,32.33333333333333,31.5,0.30366666666666664,0.40783333333333327,0.24566666666666667,65.0,113.66666666666667,13.333333333333334,50.0,23.0,28.333333333333332,25.666666666666668,0.29800000000000004,0.38966666666666666,0.0010000000000000009,-4.0,-5.0,2.0,1.0,1.0,-16.0,8.0,0.014000000000000012,0.02100000000000002,0.257
29,841,1,0.29,88,178,30,101.0,34,0.0,39,0.347,0.502,668.0,154,140.0,0.29,88.0,178.0,30.0,101.0,34.0,0.0,39.0,0.347,0.502,0.29,88.0,178.0,30.0,101.0,34.0,0.0,39.0,0.347,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293
30,900,2,0.293,67,183,25,100.0,32,0.0,47,0.353,0.468,695.0,159,125.0,0.29179999999999995,75.4,181.0,27.0,100.4,32.8,0.0,43.8,0.3506,0.48160000000000003,0.2915,77.5,180.5,27.5,100.5,33.0,0.0,43.0,0.35,0.485,0.0030000000000000027,-21.0,5.0,-5.0,-1.0,-2.0,0.0,8.0,0.006000000000000005,-0.033999999999999975,0.304
31,961,3,0.304,95,189,33,102.0,43,3.0,35,0.354,0.552,675.0,156,119.0,0.29799999999999993,84.5,185.16666666666666,29.833333333333332,101.16666666666666,37.83333333333333,1.5,39.666666666666664,0.3525,0.5156666666666667,0.2956666666666667,83.33333333333333,183.33333333333334,29.333333333333332,101.0,36.333333333333336,1.0,40.333333333333336,0.3513333333333333,0.5073333333333333,0.01100000000000001,28.0,6.0,8.0,2.0,11.0,3.0,-12.0,0.0010000000000000009,0.08400000000000002,0.265
32,1024,4,0.265,68,132,22,78.0,36,2.0,37,0.325,0.473,553.0,128,109.0,0.2826666666666667,76.83333333333333,159.5,26.166666666666664,89.66666666666666,37.666666666666664,2.0,38.0,0.3393333333333333,0.4985,0.28800000000000003,79.5,170.5,27.5,95.25,36.25,1.25,39.5,0.34474999999999995,0.49875,-0.03899999999999998,-27.0,-57.0,-11.0,-24.0,-7.0,-1.0,2.0,-0.02899999999999997,-0.07900000000000007,0.284
33,1089,5,0.284,85,180,33,123.0,38,2.0,36,0.33,0.503,693.0,159,152.0,0.281,81.0,165.5,29.333333333333332,104.5,38.166666666666664,2.1666666666666665,36.166666666666664,0.33233333333333337,0.5011666666666666,0.2872,80.6,172.4,28.6,100.8,36.6,1.4,38.8,0.3418,0.49960000000000004,0.01899999999999996,17.0,48.0,11.0,45.0,2.0,0.0,-1.0,0.0050000000000000044,0.030000000000000027,0.317
34,1156,6,0.317,43,76,19,60.0,15,0.0,18,0.37,0.617,262.0,60,59.0,0.29733333333333334,61.166666666666664,120.0,24.166666666666664,84.0,26.166666666666664,1.0,27.166666666666664,0.3491666666666667,0.5549999999999999,0.2921666666666667,74.33333333333333,156.33333333333334,27.0,94.0,33.0,1.1666666666666667,35.333333333333336,0.3465,0.5191666666666667,0.03300000000000003,-42.0,-104.0,-14.0,-63.0,-23.0,-2.0,-18.0,0.03999999999999998,0.11399999999999999,0.261
35,1225,7,0.261,86,148,30,117.0,30,1.0,61,0.351,0.481,659.0,152,143.0,0.2835,71.5,129.33333333333331,26.833333333333332,99.0,26.333333333333332,0.8333333333333333,42.5,0.35383333333333333,0.53,0.28771428571428576,76.0,155.14285714285714,27.428571428571427,97.28571428571429,32.57142857142857,1.1428571428571428,39.0,0.3471428571428571,0.5137142857142857,-0.055999999999999994,43.0,72.0,11.0,57.0,15.0,1.0,43.0,-0.019000000000000017,-0.136,0.304
36,1296,8,0.304,85,183,15,75.0,40,0.0,62,0.378,0.446,679.0,157,110.0,0.2918333333333333,78.33333333333333,153.5,20.666666666666664,86.5,32.5,0.3333333333333333,54.33333333333333,0.36766666666666664,0.48616666666666664,0.28974999999999995,77.125,158.625,25.875,94.5,33.5,1.0,41.875,0.351,0.50525,0.04299999999999998,-1.0,35.0,-15.0,-42.0,10.0,-1.0,1.0,0.027000000000000024,-0.034999999999999976,0.237
26,676,1,0.253,59,101,15,58.0,33,8.0,40,0.322,0.459,447.0,132,125.0,0.253,59.0,101.0,15.0,58.0,33.0,8.0,40.0,0.322,0.459,0.253,59.0,101.0,15.0,58.0,33.0,8.0,40.0,0.322,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247
22,484,1,0.293,78,127,26,64.0,26,16.0,45,0.366,0.552,487.0,111,123.0,0.293,78.0,127.0,26.0,64.0,26.0,16.0,45.0,0.366,0.552,0.293,78.0,127.0,26.0,64.0,26.0,16.0,45.0,0.366,0.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28
23,529,2,0.28,127,175,41,101.0,22,37.0,76,0.365,0.518,712.0,156,188.0,0.2852,107.4,155.8,35.0,86.19999999999999,23.6,28.6,63.6,0.3654,0.5316000000000001,0.2865,102.5,151.0,33.5,82.5,24.0,26.5,60.5,0.3655,0.535,-0.012999999999999956,49.0,48.0,15.0,37.0,-4.0,21.0,31.0,-0.0010000000000000009,-0.03400000000000003,0.25
24,576,3,0.25,46,40,14,29.0,11,8.0,38,0.406,0.581,202.0,46,60.0,0.26716666666666666,78.33333333333333,99.5,25.0,58.83333333333333,17.166666666666664,19.0,51.83333333333333,0.38566666666666666,0.5551666666666666,0.2743333333333333,83.66666666666667,114.0,27.0,64.66666666666667,19.666666666666668,20.333333333333332,53.0,0.379,0.5503333333333333,-0.030000000000000027,-81.0,-135.0,-27.0,-72.0,-11.0,-29.0,-38.0,0.041000000000000036,0.06299999999999994,0.283
25,625,4,0.283,72,84,24,52.0,19,17.0,49,0.394,0.596,360.0,82,85.0,0.27149999999999996,72.5,84.5,23.5,52.5,16.833333333333332,17.333333333333332,49.83333333333333,0.39316666666666666,0.578,0.27649999999999997,80.75,106.5,26.25,61.5,19.5,19.5,52.0,0.38275000000000003,0.56175,0.032999999999999974,26.0,44.0,10.0,23.0,8.0,9.0,11.0,-0.01200000000000001,0.015000000000000013,0.266
26,676,5,0.266,71,124,15,50.0,24,29.0,53,0.351,0.413,533.0,119,126.0,0.269,67.16666666666666,96.66666666666666,17.833333333333332,47.166666666666664,20.166666666666664,21.5,49.166666666666664,0.3745,0.502,0.2744,78.8,110.0,24.0,59.2,20.4,21.4,52.2,0.3764,0.5319999999999999,-0.01699999999999996,-1.0,40.0,-9.0,-2.0,5.0,12.0,4.0,-0.04300000000000004,-0.183,0.337
27,729,6,0.337,149,217,41,106.0,35,73.0,80,0.416,0.596,735.0,158,84.0,0.30433333333333334,110.16666666666666,163.83333333333331,29.5,78.33333333333333,28.666666666666664,49.0,65.83333333333333,0.3906666666666666,0.5349999999999999,0.2848333333333333,90.5,127.83333333333333,26.833333333333332,67.0,22.833333333333332,30.0,56.833333333333336,0.383,0.5426666666666666,0.07100000000000001,78.0,93.0,26.0,56.0,11.0,44.0,27.0,0.065,0.183,0.25
28,784,7,0.25,38,48,4,15.0,8,16.0,27,0.351,0.365,222.0,49,53.0,0.2816666666666667,80.5,117.0,18.166666666666664,51.16666666666666,19.666666666666664,37.166666666666664,49.0,0.37266666666666665,0.44999999999999996,0.27985714285714286,83.0,116.42857142857143,23.571428571428573,59.57142857142857,20.714285714285715,28.0,52.57142857142857,0.37842857142857145,0.5172857142857142,-0.08700000000000002,-111.0,-169.0,-37.0,-91.0,-27.0,-57.0,-53.0,-0.065,-0.23099999999999998,0.29
24,576,1,0.278,43,80,10,34.0,7,6.0,31,0.348,0.406,323.0,85,95.0,0.278,43.0,80.0,10.0,34.0,7.0,6.0,31.0,0.348,0.406,0.278,43.0,80.0,10.0,34.0,7.0,6.0,31.0,0.348,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.254
25,625,2,0.254,69,135,20,52.0,25,4.0,46,0.317,0.418,584.0,152,153.0,0.26360000000000006,58.599999999999994,113.0,16.0,44.8,17.8,4.800000000000001,40.0,0.3294,0.4132,0.266,56.0,107.5,15.0,43.0,16.0,5.0,38.5,0.3325,0.41200000000000003,-0.02400000000000002,26.0,55.0,10.0,18.0,18.0,-2.0,15.0,-0.030999999999999972,0.011999999999999955,0.259
26,676,3,0.259,29,48,8,23.0,15,2.0,20,0.332,0.481,205.0,54,74.0,0.2605,44.666666666666664,82.33333333333333,12.333333333333332,34.5,17.0,3.333333333333333,30.5,0.32966666666666666,0.44749999999999995,0.26366666666666666,47.0,87.66666666666667,12.666666666666666,36.333333333333336,15.666666666666666,4.0,32.333333333333336,0.33233333333333337,0.43500000000000005,0.0050000000000000044,-40.0,-87.0,-12.0,-29.0,-10.0,-2.0,-26.0,0.015000000000000013,0.063,0.262
27,729,4,0.262,77,130,25,73.0,32,5.0,57,0.337,0.481,555.0,140,156.0,0.25966666666666666,59.666666666666664,103.5,18.5,52.83333333333333,25.166666666666664,3.833333333333333,42.83333333333333,0.33199999999999996,0.4705,0.26325,54.5,98.25,15.75,45.5,19.75,4.25,38.5,0.3335,0.4465,0.0030000000000000027,48.0,82.0,17.0,50.0,17.0,3.0,37.0,0.0050000000000000044,0.0,0.238
28,784,5,0.238,83,134,31,98.0,31,8.0,49,0.298,0.458,617.0,139,166.0,0.2495,72.0,118.33333333333333,25.166666666666664,77.16666666666666,28.666666666666664,6.0,46.83333333333333,0.31666666666666665,0.46950000000000003,0.2582,60.2,105.4,18.8,56.0,22.0,5.0,40.6,0.3264,0.44880000000000003,-0.02400000000000002,6.0,4.0,6.0,25.0,-1.0,3.0,-8.0,-0.039000000000000035,-0.022999999999999965,0.217
29,841,6,0.217,73,120,24,80.0,29,5.0,71,0.31,0.407,636.0,149,165.0,0.23149999999999998,77.0,126.33333333333333,26.5,84.83333333333333,30.166666666666664,6.0,61.33333333333333,0.3105,0.43633333333333335,0.25133333333333335,62.333333333333336,107.83333333333333,19.666666666666668,60.0,23.166666666666668,5.0,45.666666666666664,0.3236666666666667,0.44183333333333336,-0.02099999999999999,-10.0,-14.0,-7.0,-18.0,-2.0,-3.0,22.0,0.01200000000000001,-0.051000000000000045,0.251
30,900,7,0.251,93,153,32,112.0,33,21.0,74,0.331,0.462,688.0,161,173.0,0.2375,84.66666666666666,138.83333333333331,29.166666666666664,99.0,31.333333333333332,13.5,68.83333333333333,0.3185,0.443,0.2512857142857143,66.71428571428571,114.28571428571429,21.428571428571427,67.42857142857143,24.571428571428573,7.285714285714286,49.714285714285715,0.32471428571428573,0.4447142857142858,0.034,20.0,33.0,8.0,32.0,4.0,16.0,3.0,0.02100000000000002,0.05500000000000005,0.225
