Player,playerID,sklearn_AVG,sklearn_R,sklearn_H,sklearn_HR,sklearn_RBI,sklearn_2B,sklearn_SB,sklearn_BB,sklearn_OBP,sklearn_SLG
Kyle Schwarber,schwaky01,0.195,111,145,54,129,18,5,103,0.372,0.544
Aaron Judge,judgeaa01,0.331,119,193,53,110,30,12,144,0.488,0.7
Shohei Ohtani,ohtansh01,0.301,120,152,51,114,28,25,91,0.409,0.7
Cal Raleigh,raleica01,0.22,89,118,50,99,18,6,74,0.332,0.517
Junior Caminero,caminju01,0.28,107,181,44,129,33,13,62,0.342,0.576
Pete Alonso,alonspe01,0.246,96,169,41,126,32,3,73,0.344,0.563
Juan Soto,sotoju01,0.318,139,191,38,120,33,26,124,0.461,0.66
Nick Kurtz,kurtzni01,0.294,94,138,37,104,29,5,66,0.391,0.656
Rafael Devers,deverra01,0.27,99,170,37,112,36,2,84,0.382,0.55
Bobby Witt,wittbo02,0.331,125,174,36,113,46,27,58,0.4,0.629
Bryce Harper,harpebr03,0.292,95,163,34,102,38,8,81,0.382,0.609
Julio Rodriguez,rodriju01,0.317,109,180,33,98,40,27,46,0.36,0.553
Colson Montgomery,montgco01,0.201,47,85,32,61,14,1,37,0.299,0.494
Eugenio Suarez,suareeu01,0.203,66,126,32,93,15,2,47,0.288,0.449
Matt Olson,olsonma02,0.254,86,163,32,114,35,2,84,0.377,0.55
Vladimir Guerrero,guerrvl02,0.305,103,200,31,97,43,4,71,0.408,0.557
Fernando Tatis,tatisfe02,0.303,110,175,31,92,35,24,79,0.39,0.565
Cody Bellinger,bellico01,0.252,94,158,30,96,28,10,69,0.332,0.472
Tyler Soderstrom,soderty01,0.255,78,161,30,92,45,6,64,0.357,0.483
Tyler O'Neill,oneilty01,0.231,60,98,29,61,16,5,54,0.336,0.459
Trevor Story,storytr01,0.249,92,157,29,98,33,26,48,0.307,0.453
Kyle Manzardo,manzaky01,0.236,61,109,29,74,23,3,51,0.321,0.498
Kyle Tucker,tuckeky01,0.295,111,142,29,99,34,19,92,0.409,0.599
Brent Rooker,rookebr01,0.266,94,165,29,97,30,6,76,0.338,0.492
Salvador Perez,perezsa02,0.256,51,131,29,104,27,1,21,0.263,0.489
Anthony Santander,santaan02,0.193,59,116,29,70,17,1,44,0.26,0.433
Jose Ramirez,ramirjo01,0.299,114,184,28,91,41,28,69,0.379,0.554
Mike Trout,troutmi01,0.226,72,101,28,69,22,4,77,0.356,0.515
Francisco Lindor,lindofr01,0.282,119,177,28,87,41,27,57,0.34,0.508
Manny Machado,machama01,0.286,106,186,28,109,41,10,57,0.339,0.486
Jackson Merrill,merrija01,0.314,76,157,27,84,31,10,37,0.329,0.538
Gunnar Henderson,hendegu01,0.275,103,174,27,92,39,25,72,0.371,0.528
Mookie Betts,bettsmo01,0.298,108,180,27,96,38,11,68,0.382,0.548
Ben Rice,ricebe01,0.234,70,110,27,70,26,3,59,0.334,0.477
Willy Adames,adamewi01,0.22,100,139,27,91,27,9,67,0.318,0.424
Riley Greene,greenri02,0.263,72,129,26,87,24,3,56,0.335,0.465
Heliot Ramos,ramoshe02,0.277,85,166,26,82,30,6,52,0.341,0.473
Vinnie Pasquantino,pasquvi01,0.275,68,130,26,104,32,1,43,0.34,0.472
Taylor Ward,wardta01,0.218,61,77,26,74,15,3,54,0.329,0.474
Seiya Suzuki,suzukse01,0.267,77,129,26,85,26,6,74,0.359,0.484
Shea Langeliers,langesh01,0.234,63,104,26,82,27,4,40,0.296,0.494
James Wood,woodja03,0.254,82,134,26,74,33,12,76,0.389,0.498
Corey Seager,seageco01,0.29,84,139,25,77,31,2,60,0.359,0.523
