Player,playerID,sklearn_ERA,sklearn_W,sklearn_L,sklearn_SO,sklearn_WHIP,sklearn_IP,sklearn_SV,sklearn_HR,sklearn_BB
Jeremiah Estrada,estraje01,1.34,4,3,93,0.87,55,11,5,22
Devin Williams,willide03,1.36,3,3,79,0.98,52,21,4,23
Bryan Abreu,abreubr01,1.53,3,3,80,0.91,51,9,4,26
Garrett Crochet,crochga01,1.62,14,7,227,0.78,194,0,18,40
Jeff Hoffman,hoffmje02,1.62,4,3,70,0.98,54,29,5,17
Cade Smith,smithca05,1.68,3,4,93,0.95,60,27,4,18
Mason Miller,millema03,1.75,3,2,86,0.75,50,29,4,25
Abner Uribe,uribeab01,1.83,3,3,83,1.1,56,9,5,26
Tarik Skubal,skubata01,1.83,15,5,213,0.72,175,0,18,36
Gabe Speier,speiega01,1.86,2,1,57,0.88,48,9,5,11
Paul Skenes,skenepa01,1.92,16,7,219,0.77,167,0,16,45
Ronny Henriquez,henriro01,1.94,3,3,92,0.91,56,9,5,26
Ryan Helsley,helslry01,1.96,3,2,53,1.18,49,21,3,17
Brendon Little,littlbr02,2.09,2,2,76,1.27,52,8,3,29
Josh Hader,haderjo01,2.09,3,2,78,0.8,59,40,5,20
Zack Wheeler,wheelza01,2.12,15,5,199,0.87,172,0,21,37
Edwin Diaz,diazed04,2.13,3,3,79,0.87,48,29,5,16
Alex Vesia,vesiaal01,2.21,2,3,68,1.03,49,7,5,23
Aroldis Chapman,chapmar01,2.28,3,4,65,0.96,42,35,3,21
Raisel Iglesias,iglesra01,2.29,3,3,50,0.91,52,26,5,13
Matt Svanson,svansma01,2.29,3,2,67,1.02,64,3,6,20
Jacob deGrom,degroja01,2.33,13,6,158,0.83,149,0,22,36
Cole Ragans,raganco01,2.42,12,8,228,0.71,165,2,16,46
Chris Sale,salech01,2.44,15,6,184,0.79,156,0,19,44
Andrew Kittredge,kittran01,2.45,2,1,54,0.9,48,5,5,12
Andres Munoz,munozan01,2.45,2,3,75,1.12,50,36,4,22
Griffin Jax,jaxgr01,2.54,4,2,76,0.8,53,3,6,15
Garrett Cleavinger,cleavga01,2.57,2,2,59,0.92,47,15,5,18
Tanner Banks,banksta01,2.59,1,2,49,1.07,50,0,5,12
David Bednar,bednada01,2.59,3,3,59,1.02,48,19,4,16
Bryan Baker,bakerbr01,2.6,2,3,63,0.94,50,5,5,13
Bennett Sousa,sousabe01,2.6,2,2,59,1.12,58,2,6,18
Cristopher Sanchez,sanchcr01,2.64,14,9,203,0.96,193,0,21,45
Brenan Hanifee,hanifbr01,2.64,2,2,42,1.29,54,5,2,11
Nick Mears,mearsni01,2.64,1,2,40,0.98,49,4,4,12
Robert Suarez,suarero01,2.65,2,3,53,0.93,52,30,5,12
Yoshinobu Yamamoto,yamamyo01,2.69,15,6,196,1.03,159,0,17,60
Brandon Woodruff,woodrbr01,2.7,12,7,182,0.8,162,0,19,30
Ryan Walker,walkery01,2.71,3,3,63,1.06,50,12,5,15
Dylan Lee,leedy01,2.71,2,2,52,0.96,50,3,6,11
Calvin Faucher,fauchca01,2.71,3,2,49,1.36,49,10,4,22
Yennier Cano,canoye01,2.73,3,2,52,1.16,50,5,3,17
Eduard Bazardo,bazared01,2.73,3,3,60,1.24,62,6,7,22
Tanner Scott,scottta01,2.76,3,2,51,1.28,50,14,4,20
Tyler Holton,holtoty01,2.77,3,2,51,0.84,66,2,10,12
Bryan Woo,woobr01,2.78,13,6,181,1.0,154,0,22,29
Reed Garrett,garrere01,2.79,3,1,52,1.33,48,1,4,22
Randy Rodríguez,rodrira02,2.79,2,2,67,1.0,51,11,5,14
Justin Topa,topaju01,2.8,3,2,44,1.0,53,2,4,14
Jack Dreyer,dreyeja01,2.8,3,4,63,1.15,70,3,7,22
Steven Okert,okertst01,2.81,3,2,51,1.07,49,5,5,17
Adrian Morejon,morejad01,2.81,3,4,62,0.99,53,16,3,15
Chad Patrick,patrich01,2.82,10,5,136,1.17,142,0,15,43
Jason Adam,adamja01,2.83,3,2,50,1.02,52,9,5,17
Phil Maton,matonph01,2.84,3,3,58,1.04,49,3,5,20
Braydon Fisher,fishebr02,2.84,2,3,64,1.13,54,4,5,24
Matt Festa,festama01,2.84,2,2,55,1.06,50,2,5,17
Caleb Thielbar,thielca01,2.86,1,2,46,0.96,49,8,4,12
Hoby Milner,milneho01,2.87,1,2,44,1.1,53,6,5,14
Tim Hill,hillti01,2.88,2,3,20,1.28,48,1,4,12
Jorge Alcala,alcaljo01,2.88,3,2,68,1.21,57,4,6,17
Joey Cantillo,cantijo01,2.88,7,6,117,1.14,125,0,13,43
Seranthony Dominguez,dominse01,2.91,4,2,62,1.27,45,6,4,23
Taylor Clarke,clarkta01,2.91,2,1,43,1.06,54,6,8,9
Matt Strahm,strahma01,2.93,3,2,60,1.07,53,5,5,16
Dennis Santana,santade01,2.95,3,3,46,1.13,53,20,5,20
Grant Holmes,holmegr01,2.98,10,7,158,1.21,128,0,12,45
Brennan Bernardino,bernabr01,2.99,3,1,46,1.27,51,3,5,22
Caleb Ferguson,ferguca01,2.99,3,3,48,1.25,51,7,4,18
Jimmy Herget,hergeji01,3.0,3,3,52,1.17,60,6,7,17
Edwin Uceta,ucetaed01,3.01,4,2,87,0.93,59,6,8,23
Kenley Jansen,janseke01,3.04,2,2,44,1.13,46,29,5,15
Tyler Ferguson,ferguty01,3.04,3,2,52,1.31,49,1,3,25
Tyler Rogers,rogerty01,3.04,2,1,25,1.34,50,7,6,6
Orion Kerkering,kerkeor01,3.04,3,4,72,1.2,56,8,4,19
Logan Webb,webblo01,3.05,13,10,193,1.12,166,0,12,45
Tyler Gilbert,gilbety01,3.06,4,2,62,1.36,74,1,7,26
Aaron Ashby,ashbyaa01,3.07,4,2,76,1.24,66,3,8,26
Bryan King,kingbr01,3.1,2,1,52,0.96,53,1,8,11
Daniel Palencia,palenda01,3.12,2,4,61,1.18,51,23,4,17
Grant Anderson,andergr01,3.13,3,3,55,1.23,52,3,5,24
Shawn Armstrong,armstsh01,3.14,2,3,45,1.28,49,6,5,16
Brant Hurter,hurtebr01,3.14,3,3,66,1.31,62,4,6,27
